broker, subs, notifs, notif_speed, entities, avg_delay, throughput
MULTI_CONTEXT_BROKER,1,100000,1000,10,3627.0,1000.0
MULTI_CONTEXT_BROKER,1,100000,1000,10,7291.0,1000.0
MULTI_CONTEXT_BROKER,1,100000,1000,10,2171.0,1000.0
MULTI_CONTEXT_BROKER,10,100000,1000,20,4652.0,1000.0
MULTI_CONTEXT_BROKER,10,100000,1000,20,3877.0,1000.0
MULTI_CONTEXT_BROKER,10,100000,1000,20,4023.0,1000.0
MULTI_CONTEXT_BROKER,50,100000,1000,20,1.284718E7,767.1135007733667
MULTI_CONTEXT_BROKER,50,100000,1000,20,1.7484634E7,684.8616600790514
MULTI_CONTEXT_BROKER,50,100000,1000,20,3.3009878E7,544.5538851448649
MULTI_CONTEXT_BROKER,100,100000,1000,20,4.5726148E7,419.760982457834
MULTI_CONTEXT_BROKER,100,100000,1000,20,5.4122446E7,382.5851120127007
MULTI_CONTEXT_BROKER,200,100000,1000,20,6.63707847E8,58.027298154887

MULTI_CONTEXT_BROKER,100,100000,1000,10,7.5142526E7,473.10014887673333
MULTI_CONTEXT_BROKER,100,100000,1000,50,3.1213711E7,436.97558918033735
MULTI_CONTEXT_BROKER,100,100000,1000,50,3.1447582E7,418.2080124565086
MULTI_CONTEXT_BROKER,100,100000,1000,50,4.7350965E7,354.02593527033997
MULTI_CONTEXT_BROKER,100,100000,1000,100,1.6499083E7,394.533187070792
MULTI_CONTEXT_BROKER,100,100000,1000,100,1.311012E7,396.6267165568197
MULTI_CONTEXT_BROKER,100,100000,1000,100,2.850061E7,337.9088766185541

MULTI_CONTEXT_BROKER,100,1000,1000,10,767948.0,422.01478024115136
MULTI_CONTEXT_BROKER,100,1000,1000,10,1093443.0,362.91065397605155
MULTI_CONTEXT_BROKER,100,1000,1000,10,859964.0,395.5637707948244
MULTI_CONTEXT_BROKER,100,10000,1000,10,5728046.0,439.5359589760834
MULTI_CONTEXT_BROKER,100,10000,1000,10,4806491.0,470.8899487087195
MULTI_CONTEXT_BROKER,100,10000,1000,10,7538614.0,361.2759389470073
MULTI_CONTEXT_BROKER,100,100000,1000,10,2.8685845E7,554.5555490620069
MULTI_CONTEXT_BROKER,100,100000,1000,10,5.4137715E7,399.6358044055425
MULTI_CONTEXT_BROKER,100,200000,1000,10,4.6941095E7,594.4870896232597
MULTI_CONTEXT_BROKER,100,200000,1000,10,9.9378481E7,408.36219760962723
MULTI_CONTEXT_BROKER,100,200000,1000,10,7.6898035E7,458.8664362782599



CONTEXT_BROKER,1,100000,1000,10,3016.0,1000.0
CONTEXT_BROKER,1,100000,1000,10,3268.0,1000.0
CONTEXT_BROKER,1,100000,1000,10,2680.0,1000.0
CONTEXT_BROKER,10,100000,1000,20,3839.0,1000.0
CONTEXT_BROKER,10,100000,1000,20,67138.0,1000.0
CONTEXT_BROKER,10,100000,1000,20,3968.0,1000.0
CONTEXT_BROKER,50,100000,1000,20,1486806.0,791.5950716977062
CONTEXT_BROKER,50,100000,1000,20,3589135.0,694.2276109567931
CONTEXT_BROKER,50,100000,1000,20,1185278.0,747.3475235068685
CONTEXT_BROKER,100,100000,1000,20,8035552.0,386.33463691146085
CONTEXT_BROKER,100,100000,1000,20,1.4715453E7,392.02555120543997
CONTEXT_BROKER,100,100000,1000,20,2.0471855E7,366.23728813559325
CONTEXT_BROKER,200,100000,1000,20,3.9221294E7,165.74008323884178
CONTEXT_BROKER,200,100000,1000,20,2.0751545E7,225.75028122475305

CONTEXT_BROKER,100,100000,1000,10,3.546439E7,342.04382333447677
CONTEXT_BROKER,100,100000,1000,10,1.2082033E7,498.08737083700527
CONTEXT_BROKER,100,100000,1000,10,2.6144198E7,352.68256128916937
CONTEXT_BROKER,100,100000,1000,50,255972.0,365.89948165101634
CONTEXT_BROKER,100,100000,1000,50,719286.0,352.14579256024706
CONTEXT_BROKER,100,100000,1000,50,331111.0,419.40668045341266
CONTEXT_BROKER,100,100000,1000,100,53204.0,325.87449133395575
CONTEXT_BROKER,100,100000,1000,100,889742.0,365.3203287843631

CONTEXT_BROKER,100,1000,1000,10,413907.0,382.2775540095203
CONTEXT_BROKER,100,1000,1000,10,537369.0,379.2480115690527
CONTEXT_BROKER,100,1000,1000,10,545502.0,353.50848021283673
CONTEXT_BROKER,100,10000,1000,10,3710338.0,335.59223112091047
CONTEXT_BROKER,100,10000,1000,10,3780632.0,353.93449306876875
CONTEXT_BROKER,100,10000,1000,10,4021200.0,340.25405459188744
CONTEXT_BROKER,100,100000,1000,10,2.9001074E7,362.8446254866393
CONTEXT_BROKER,100,100000,1000,10,3.1901834E7,330.44222392371597
CONTEXT_BROKER,100,100000,1000,10,2.6219675E7,364.18985246848604
CONTEXT_BROKER,100,200000,1000,10,5.5939907E7,324.9464617292308
CONTEXT_BROKER,100,200000,1000,10,6.1071723E7,355.9826047499216
CONTEXT_BROKER,100,200000,1000,10,6.212745E7,332.7120042716372


SILBOPS,1,100000,1000,10,43945.0,999.6931057696115
SILBOPS,1,100000,1000,10,21564.0,999.6533280507133
SILBOPS,10,100000,1000,20,198314.0,999.6842873774148
SILBOPS,10,100000,1000,20,156996.0,999.6942197672123
SILBOPS,10,100000,1000,20,211146.0,999.6843309789684
SILBOPS,50,100000,1000,20,217256.0,999.6752064407548
SILBOPS,50,100000,1000,20,218082.0,999.7040164961472
SILBOPS,50,100000,1000,20,136800.0,999.7036510194406
