broker, subs, notifs, notif_speed, entities, avg_delay, throughput
MULTI_CONTEXT_BROKER,1,1000,1000,10,32900.0,1000.0
MULTI_CONTEXT_BROKER,1,1000,1000,10,1893.0,1000.0
CONTEXT_BROKER,1,1000,1000,10,23456.0,1000.0
MULTI_CONTEXT_BROKER,1,100000,1000,10,3686.0,1000.0
